entity_id,entity_type,description,chunk_ids,source_files,release,created_at,file_path,source_id,raw_entity_id
Suppo,Terminology,General responsibilities are assigned to the Suppo entity as part of its role in the system,,,Rel-19,1770192400,../3GPP-trunked/Rel-19/21_series/21900-j00.md3,chunk-71977fe8898a8305860bf84c25c59886,Suppo<SEP>Suppo)##
General responsibilities,Concept,General responsibilities refers to the overarching duties and obligations assigned to the Suppo entity within the context of the document. It is a high-level concept that defines the scope of actions and accountability expected from Suppo.,,,Rel-19,1770192400,../3GPP-trunked/Rel-19/21_series/21900-j00.md3,chunk-71977fe8898a8305860bf84c25c59886,General responsibilities
DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.",,,Rel-19,1770192435,../3GPP-trunked/Rel-19/21_series/21900-j00.md3.1,chunk-b4a91583c33b0ad8a899bd7d5fd7b3a8,DEF
Support Team,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.",,,Rel-19,1770192435,../3GPP-trunked/Rel-19/21_series/21900-j00.md3.1,chunk-b4a91583c33b0ad8a899bd7d5fd7b3a8,Support Team
SupportedFeatures,Technology,"SupportedFeatures is a data type used in the supportedFeatures attribute of ConfirmationData to indicate features supported by the UE, as defined in clause 6.1.9.<SEP>SupportedFeatures is a data type used for the supportedFeatures attribute in RgAuthenticationInfo, which indicates features defined in clause 6.1.9 and is present only when at least one such feature is supported.<SEP>SupportedFeatures is a data type used to indicate the set of supported features in the ProSeAuthenticationCtx, applicable only when features from clause 6.1.9 are supported.<SEP>SupportedFeatures is the data type of the attribute supportedFeatures in ProSeAuthenticationResult, used to indicate supported features when at least one feature defined in clause 6.1.9 is supported.",,,Rel-19,1770192615,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.6<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.9<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.13<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.16,chunk-c46efe55a39fb6029f3def15ae5a8176<SEP>chunk-49edbce69586b3a6f3c2b34a087b524a<SEP>chunk-9059fbe05b12f40b5c29d9d02a8855da<SEP>chunk-42c5d934326b27b677afb04de6b2b424,SupportedFeatures
ServerAddressingInfo,Technology,(no description)<SEP>ServerAddressingInfo is a data structure that contains addressing information such as FQDN and/or IP address for a server involved in UE on,,,Rel-19,1770192511,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.8,<SEP>chunk-b1235642efb0407d9dca3b197905b474,ServerAddressingInfo
NfGroupId,UNKNOWN,,,,Rel-19,1770192595,,,NfGroupId
CagId,Terminology,,,,Rel-19,1770192440,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1,chunk-b82899e8c390aa1b57361cf45cccd372,CagId
Nausf_UEAuthentication service based interface protocol,Concept,"The Nausf_UEAuthentication service based interface protocol is a standardized API that supports the application data model for user equipment (UE) authentication in 5G networks. It defines specific data types and re-used data types from other specifications to manage authentication processes, including UE identity, authentication context, EAP sessions, and authentication results.",,,Rel-19,1770192440,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1,chunk-05e3aa5bdd7556cb93411cd397c1aa2c,Nausf_UEAuthentication service based interface protocol
5GPrukId,Technology,(no description)<SEP>5GPrukId is a data type used in ProSeEapSession to contain the CP-PRUK ID for the 5G ProSe Remote UE or the 5G ProSe End UE. It is conditionally present (C) with cardinality 0..1 and must be included if authentication is successful and no EAP packet has been provided.,,,Rel-19,1770192559,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.14,<SEP>chunk-acc5a8f5cf45c9e634b671f0f9bce2c9,5GPrukId
3GPP TS 29.571 [10],Document,"3GPP TS 29.571 [10] is a technical specification document that defines various parameters and structures used in 5G network functions, including Uri, SupiOrSuci, Pei, TraceData, NfGroupId, CagId, SupportedFeatures, ServerAddressingInfo, RelayServiceCode, and 5GPrukId.",,,Rel-19,1770192440,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1,chunk-b82899e8c390aa1b57361cf45cccd372,3GPP TS 29.571 [10]
Data type,Terminology,,,,Rel-19,1770192440,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1,chunk-05e3aa5bdd7556cb93411cd397c1aa2c,Data type
